SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Amtex Limited,4.06,4.14,4.14,3.95,4.03,  -0.05,"998,932"
Arctic Textile,38.71,36.5,38.9,36.5,38.0,  -1.12,"3,655"
Asim Textile,32.99,32.03,32.76,31.3,31.8,  -0.68,"2,094"
Bilal Fibres,24.02,24.0,24.5,24.0,24.25,  0.23,"50,608"
Chakwal Spinning,34.32,34.5,35.0,34.1,34.46,  ,"318,471"
Colony Tex.Mills Ltd,6.25,6.33,6.8,6.12,6.63,  0.36,"839,785"
Crescent Cotton,56.50,53.77,57.98,53.77,55.9,  -1.16,"2,179"
D.M. Corporation Ltd,50.05,55.06,55.06,55.06,55.06,  3.1,1
D.S. Ind. Ltd.,6.91,6.87,6.91,6.5,6.56,  -0.38,"1,274,436"
Dewan Farooque Sp.,6.02,6.2,6.2,6.0,6.0,  -0.01,"325,045"
Dewan Mushtaq,15.72,15.52,15.52,14.53,15.17,  -0.92,"16,500"
Dewan Textile,7.11,7.05,7.5,6.57,7.35,  0.2,"1,900"
Din Textile,77.66,74.42,77.26,74.42,77.26,  ,59
Elahi Cotton,215.00,210.0,230.0,195.18,195.18,  9.96,408
Ellcot Spinning,115.02,111.0,114.0,111.0,111.51,  ,19
Gadoon Textile,415.09,418.6,441.08,413.0,439.85,  23.93,"98,142"
Gulistan Sp.,9.88,9.85,10.6,9.22,10.05,  0.17,"137,175"
Gulshan Sp.,5.49,5.64,6.15,5.5,5.85,  0.11,"63,679"
Hira Textile,5.19,5.34,5.34,5.02,5.14,  -0.11,"783,109"
Ideal Spinning,22.56,20.64,21.5,20.6,21.0,  -1.54,"3,432"
Idrees Textile,25.23,25.47,27.75,24.25,27.75,  2.52,"213,769"
Indus Dyeing,165.88,168.88,182.47,165.5,182.47,  16.59,"85,700"
J.A.Textile,28.04,29.5,29.5,27.95,28.0,  -0.02,"12,802"
J.K.Spinning,248.41,248.45,248.45,239.0,248.0,  -3.02,565
Janana D Mal,121.81,121.81,121.81,119.47,121.0,  -1.28,591
